"SCD","2013 UKUPNO","2013 MUŠKARCI","2013 ŽENE","2013 UKUPNO_0- 4","2013  UKUPNO_5-9","2013 UKUPNO_10-14","2013 UKUPNO_15-19","2013 UKUPNO_20-24","2013 UKUPNO_25-34","2013 UKUPNO_35-44","2013 UKUPNO_45-54","2013 UKUPNO_55-64","2013 UKUPNO_65-74","2013 UKUPNO_75+","2014 UKUPNO","2014 MUŠKARCI","2014 ŽENE","2014 UKUPNO_0- 4","2014  UKUPNO_5-9","2014 UKUPNO_10-14","2014 UKUPNO_15-19","2014 UKUPNO_20-24","2014 UKUPNO_25-34","2014 UKUPNO_35-44","2014 UKUPNO_45-54","2014 UKUPNO_55-64","2014 UKUPNO_65-74","2014 UKUPNO_75+"
"PLAVO POLJE; MALI PARIZ",5745,2680,3065,226,219,283,322,346,772,629,898,911,645,494,5653,2638,3015,222,215,279,317,341,759,619,884,896,635,486
"PODVINJE; BRODSKO VINOGORJE",6538,3226,3312,349,338,431,443,425,813,848,977,822,647,445,6495,3205,3290,347,336,428,440,422,808,842,970,817,643,442
"DONJI GRAD",11690,5406,6284,561,494,563,670,734,1714,1516,1728,1635,1200,875,11642,5384,6258,559,492,561,667,731,1707,1510,1721,1628,1195,871
"GORNJI GRAD",16122,7350,8772,725,607,722,796,1070,2598,2084,2361,2351,1527,1283,15968,7280,8688,718,601,715,788,1060,2573,2064,2338,2328,1513,1270
"INDUSTRIJSKA ÈETVRT",11924,5571,6353,489,501,629,676,809,1590,1461,1865,1642,1188,1071,11818,5522,6296,485,497,624,670,802,1576,1448,1848,1628,1178,1062
"JUG II",12858,5877,6981,562,561,682,729,766,1814,1877,1829,1724,1441,872,12756,5831,6925,558,557,676,723,760,1800,1862,1814,1711,1430,865
"NOVI GRAD",12465,5697,6768,552,555,669,714,822,1681,1809,1814,1670,1326,854,12445,5688,6757,551,554,668,713,821,1678,1806,1811,1667,1324,852
"RETFALA",13179,6204,6975,628,540,705,725,732,1899,1783,1931,1833,1415,989,13134,6183,6951,626,538,702,722,729,1892,1777,1925,1827,1410,986
"TVRÐA; OSIJEK-LIJEVA OBALA",8389,3770,4619,347,302,420,463,615,1099,1040,1262,1211,876,754,8259,3712,4547,341,297,413,455,606,1082,1024,1243,1193,863,742
"JOSIPOVAC; VIŠNJEVAC",10657,5249,5408,489,536,648,667,663,1440,1488,1664,1433,1009,619,10588,5214,5374,486,532,644,663,659,1431,1478,1653,1424,1003,615
"SARVAŠ;KLISA;TENJA",9744,4766,4978,515,593,599,568,535,1448,1359,1423,1393,817,493,9835,4811,5024,520,598,604,574,540,1461,1372,1437,1406,825,498
"BAÈVICE",6890,3222,3668,273,284,291,333,416,845,752,959,1147,660,929,6825,3192,3633,271,282,288,330,412,837,745,950,1136,654,920
"BLATINE-ŠKRAPE",5509,2634,2875,225,231,271,358,341,710,713,870,785,474,530,5418,2590,2828,222,227,267,352,335,699,702,855,772,466,521
"BOL",9844,4610,5238,406,393,436,519,578,1302,1281,1452,1542,910,1026,9710,4548,5162,401,387,430,512,570,1284,1263,1432,1521,898,1012
"BRDA",5865,2816,3048,311,282,321,417,435,859,783,968,758,393,338,5832,2800,3032,309,281,319,414,432,854,779,963,754,391,336
"GRAD",5694,2605,3089,206,221,235,329,332,754,682,821,1044,538,532,5563,2545,3018,201,216,230,321,324,737,667,802,1019,526,520
"GRIPE",5581,2543,3038,223,179,231,288,364,754,613,831,930,534,634,5491,2503,2988,219,176,227,283,358,742,603,818,915,526,624
"KMAN; KOCUNAR",9054,4298,4756,404,408,497,553,561,1203,1293,1419,1141,863,713,8949,4249,4700,399,403,491,547,554,1189,1278,1402,1128,853,705
"LOKVE",5819,2721,3098,270,231,258,308,340,787,721,850,857,573,624,5719,2674,3045,265,227,254,302,334,774,709,836,842,563,613
"LOVRET",10812,5027,5785,468,473,655,705,694,1275,1500,1686,1560,807,989,10952,5092,5860,474,479,663,714,703,1291,1519,1708,1581,818,1002
"LUÈAC-MANUŠ",5534,2640,2895,212,214,260,283,342,754,698,789,958,478,544,5435,2593,2842,209,210,255,278,336,741,686,775,941,470,534
"MEJAŠI; NESLANOVAC",10853,5322,5531,783,674,699,779,787,1776,1585,1645,1078,621,426,11025,5407,5618,795,684,711,791,799,1805,1610,1671,1095,631,433
"MERTOJAK",6965,3376,3590,355,332,385,378,330,910,1074,869,992,871,470,6902,3345,3557,352,329,381,374,327,902,1064,861,983,863,466
"PLOKITE",5870,2629,3241,226,245,243,286,300,687,744,831,791,688,829,5814,2604,3210,224,243,241,283,297,681,736,823,783,682,821
"PUJANKE; VISOKA",13566,6551,7015,716,756,863,872,929,1950,2048,1891,1975,986,579,13498,6519,6979,712,753,859,868,924,1940,2038,1882,1965,981,576
"RAVNE NJIVE",4931,2278,2653,247,212,257,264,282,638,756,705,665,559,346,4867,2249,2618,244,209,254,261,278,629,746,696,656,552,342
"SPLIT-3",9012,4300,4712,373,375,468,536,546,1073,1282,1315,1133,1154,757,8906,4248,4658,369,371,463,529,539,1060,1267,1300,1120,1140,748
"SUÆIDAR",10094,4816,5278,477,542,582,661,692,1379,1508,1415,1400,884,553,10018,4781,5237,473,538,578,656,687,1369,1497,1404,1389,878,549
"ŠPINUT",7332,3329,4003,276,278,347,362,400,913,843,1103,1224,677,908,7224,3279,3945,272,274,342,356,394,900,831,1087,1206,667,895
"TRSTENIK",7269,3407,3862,362,348,367,433,394,848,1059,1077,913,856,613,7289,3416,3873,363,349,368,434,395,850,1062,1080,916,858,614
"VAROŠ; MEJE; SLATINE",9856,4687,5169,439,401,483,543,596,1209,1242,1514,1567,937,923,9767,4645,5122,435,397,479,539,590,1198,1231,1501,1553,929,915
"ŽNJAN; SIROBUJA; ŠINE; STOBREÈ",13656,6721,6935,1004,895,900,948,901,2201,2108,1960,1506,683,551,14121,6950,7171,1038,926,930,981,931,2276,2180,2026,1557,706,570
"ŽRNOVNICA; GORNJE SITNO; DONJE SITNO; SRINJINE; KAMEN",6928,3422,3506,442,432,440,425,489,1011,911,957,930,502,389,6946,3430,3516,443,433,441,426,490,1013,913,960,933,504,390
